data_hora;site;modelo_busca;titulo;preco;processador;ram;armazenamento;gpu;tela;link
2025-11-10 19:43:04;MercadoLivre;lenovo ideapad 3;Notebook Lenovo Ideapad 1 15amn7 Amd Ryzen 3 7320u 8gb 256gb Ssd Windows 11 15.6 - 82x5000mbr Cloud Grey;R$ 2.249;RYZEN 3;N/A;8GB;N/A;N/A;https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1-15amn7-amd-ryzen-3-7320u-8gb-256gb-ssd-windows-11-156-82x5000mbr-cloud-grey/p/MLB52907392#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=8993f59c-6a1f-4911-b859-3de00c25ad1e&wid=MLB5892860922&sid=search
2025-11-10 19:43:04;MercadoLivre;lenovo ideapad 3;Notebook Lenovo Ideapad 1 15iru7 Intel Core i3-1315u 8gb 256gb Ssd Windows 11 15.6 - 83qj0001bo Cloud Grey;R$ 4.150;I3-1315U;N/A;8GB;N/A;N/A;https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1-15iru7-intel-core-i3-1315u-8gb-256gb-ssd-windows-11-156-83qj0001bo-cloud-grey/p/MLB52907400#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=9545d286-be64-4655-900a-f001bef520c8&wid=MLB5725028074&sid=search
2025-11-10 19:43:04;MercadoLivre;lenovo ideapad 3;Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza;R$ 3.064;I3 - 1215U;4GB;4GB;N/A;"15.6""";https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1i-intel-core-i3-1215u-4gb-ram-256gb-ssd-windows-11-home-tela-156-82vy000tbr-cor-cinza/p/MLB28131253#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=9545d286-be64-4655-900a-f001bef520c8&wid=MLB3993954835&sid=search
2025-11-10 19:43:04;MercadoLivre;lenovo ideapad 3;"Notebook Lenovo IdeaPad Slim 3 15IRH10 Intel Core i5-13420H 8GB 512GB SSD Windows 11 15.3"" - 83NS0002BR Luna Grey";R$ 4.855;I5-13420H;N/A;8GB;N/A;N/A;https://www.mercadolivre.com.br/notebook-lenovo-ideapad-slim-3-15irh10-intel-core-i5-13420h-8gb-512gb-ssd-windows-11-153-83ns0002br-luna-grey/p/MLB51233304#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=9545d286-be64-4655-900a-f001bef520c8&wid=MLB5761444412&sid=search
2025-11-10 19:43:04;MercadoLivre;lenovo ideapad 3;Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i5-13420h 16gb 512gb Ssd Windows 11 15.3 - 83ns0001br Luna Grey;R$ 3.549;I5-13420H;N/A;16GB;N/A;N/A;https://www.mercadolivre.com.br/notebook-lenovo-ideapad-slim-3-15irh10-intel-core-i5-13420h-16gb-512gb-ssd-windows-11-153-83ns0001br-luna-grey/p/MLB51233306#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=9545d286-be64-4655-900a-f001bef520c8&wid=MLB5435583568&sid=search
2025-11-10 19:43:04;MercadoLivre;lenovo ideapad 3;Notebook Lenovo Ideapad 1 15amn7 Amd Ryzen 3 7320u 8gb 256gb Ssd Windows 11 15.6 - 82x5000mbr Cloud Grey;R$ 2.249;RYZEN 3;N/A;8GB;N/A;N/A;https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1-15amn7-amd-ryzen-3-7320u-8gb-256gb-ssd-windows-11-156-82x5000mbr-cloud-grey/p/MLB52907392#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=9545d286-be64-4655-900a-f001bef520c8&wid=MLB5892860922&sid=search
2025-11-10 19:43:04;Amazon;acer nitro 5;"Notebook Gamer Legion 5 Intel Core i7-14650HX 16GB 512GB SSD RTX4060 8GB W11Home 16"" WQXGA 83EW0002BR";R$ 12.349,05;I7-14650HX;8GB;16GB;RTX;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo1NDQ1OTk0MjI4MDM0MTg6MTc2MjgwMzg0NjpzcF9hdGY6MzAwODc4NjE5NTE4NDAyOjowOjo&url=%2FNotebook-i7-14650HX-RTX4060-W11Home-83EW0002BR%2Fdp%2FB0DRMDNR7D%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.pMVEHnEQoW7HK4euDjumXu78vLt5MsinY2DVOmNzLWiCn6QivcXYBErQjjUo7KSk3SSRRX2dUw2QIbofwhfRiQVHLrSns7jy4f_uHNPFd6Y94gHwh1s9hYMObAS7aDa5GH9W9pKr54_yLuGChfuIYtRsV46f6q48hs_Xa6bCtd6eYYo0gmjVfQiTNvEPnRsr8VcmhfxHC9nVRHl5rC23gHy0N-sQvXrYEQorp-FzpPwAJmonvTefOKVs1RAhzCBMfBf6j87YxfdxxxZJ3v_S429tlex7xOHz4z-FJpVnVzY.50_VnZ1Az9GaTDozKb47biKKwb4siIfAxG_uvEMVPOs%26dib_tag%3Dse%26keywords%3Dacer%2Bnitro%2B5%26qid%3D1762803846%26sr%3D8-1-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2025-11-10 19:43:04;Amazon;acer nitro 5;"Notebook Lenovo LOQ-e 15IAX9E Intel Core i5-12450HX 16GB 512GB SSD RTX 3050 Windows 11 Pro 15.6"" - 83ME000CBR Luna Grey";R$ 5.509,05;I5-12450HX;N/A;16GB;RTX;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo1NDQ1OTk0MjI4MDM0MTg6MTc2MjgwMzg0NjpzcF9hdGY6MzAwODc4NjE5NTE4MzAyOjowOjo&url=%2FNotebook-Lenovo-15IAX9E-i5-12450HX-Windows%2Fdp%2FB0DSXNFP1S%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.pMVEHnEQoW7HK4euDjumXu78vLt5MsinY2DVOmNzLWiCn6QivcXYBErQjjUo7KSk3SSRRX2dUw2QIbofwhfRiQVHLrSns7jy4f_uHNPFd6Y94gHwh1s9hYMObAS7aDa5GH9W9pKr54_yLuGChfuIYtRsV46f6q48hs_Xa6bCtd6eYYo0gmjVfQiTNvEPnRsr8VcmhfxHC9nVRHl5rC23gHy0N-sQvXrYEQorp-FzpPwAJmonvTefOKVs1RAhzCBMfBf6j87YxfdxxxZJ3v_S429tlex7xOHz4z-FJpVnVzY.50_VnZ1Az9GaTDozKb47biKKwb4siIfAxG_uvEMVPOs%26dib_tag%3Dse%26keywords%3Dacer%2Bnitro%2B5%26qid%3D1762803846%26sr%3D8-2-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2025-11-10 19:43:04;Amazon;acer nitro 5;"Notebook Lenovo Yoga Slim 7 14IMH9 14"" Intel Core Ultra 7 155H 16GB 512GB SSD Windows 11-83GM0005BR Luna Grey";R$ 6.174,05;N/A;N/A;16GB;N/A;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo1NDQ1OTk0MjI4MDM0MTg6MTc2MjgwMzg0NjpzcF9hdGY6MzAwODc4NjE5NTE4OTAyOjowOjo&url=%2FNotebook-Lenovo-14IMH9-Windows-11-83GM0005BR%2Fdp%2FB0DR3GRCG2%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.pMVEHnEQoW7HK4euDjumXu78vLt5MsinY2DVOmNzLWiCn6QivcXYBErQjjUo7KSk3SSRRX2dUw2QIbofwhfRiQVHLrSns7jy4f_uHNPFd6Y94gHwh1s9hYMObAS7aDa5GH9W9pKr54_yLuGChfuIYtRsV46f6q48hs_Xa6bCtd6eYYo0gmjVfQiTNvEPnRsr8VcmhfxHC9nVRHl5rC23gHy0N-sQvXrYEQorp-FzpPwAJmonvTefOKVs1RAhzCBMfBf6j87YxfdxxxZJ3v_S429tlex7xOHz4z-FJpVnVzY.50_VnZ1Az9GaTDozKb47biKKwb4siIfAxG_uvEMVPOs%26dib_tag%3Dse%26keywords%3Dacer%2Bnitro%2B5%26qid%3D1762803846%26sr%3D8-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2025-11-10 19:43:04;Amazon;acer nitro 5;Notebook Gamer Acer Nitro V15 ANV15-51-57WS i5 13ªGen Linux Gutta 8GB 512GB SSD RTX3050 15.6' FHD;R$ 4.186,00;I5;N/A;8GB;RTX;N/A;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo1NDQ1OTk0MjI4MDM0MTg6MTc2MjgwMzg0NjpzcF9hdGY6MzAxMDI3ODA0NzQwNzAyOjowOjo&url=%2FNotebook-Gamer-ANV15-51-57WS-13%25C2%25AAGen-RTX3050%2Fdp%2FB0B8YWZDFR%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.pMVEHnEQoW7HK4euDjumXu78vLt5MsinY2DVOmNzLWiCn6QivcXYBErQjjUo7KSk3SSRRX2dUw2QIbofwhfRiQVHLrSns7jy4f_uHNPFd6Y94gHwh1s9hYMObAS7aDa5GH9W9pKr54_yLuGChfuIYtRsV46f6q48hs_Xa6bCtd6eYYo0gmjVfQiTNvEPnRsr8VcmhfxHC9nVRHl5rC23gHy0N-sQvXrYEQorp-FzpPwAJmonvTefOKVs1RAhzCBMfBf6j87YxfdxxxZJ3v_S429tlex7xOHz4z-FJpVnVzY.50_VnZ1Az9GaTDozKb47biKKwb4siIfAxG_uvEMVPOs%26dib_tag%3Dse%26keywords%3Dacer%2Bnitro%2B5%26qid%3D1762803846%26sr%3D8-4-spons%26ufe%3Dapp_do%253Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
